name,chembl_id,smiles
CHEMBL1402295,CHEMBL1402295,CCn1nc(C)c2c(-c3ccccc3)cc(=O)n(C(C)C(=O)NCCc3ccccc3)c21
CHEMBL1402356,CHEMBL1402356,CC(=O)Nc1ccc(-c2csc(Nc3cc(C)ccn3)n2)cc1
CHEMBL1402708,CHEMBL1402708,Cc1cc(Cl)ccc1NC(=O)CSc1nnc(Cc2cccs2)n1Cc1ccco1
CHEMBL1406300,CHEMBL1406300,COc1ccc(CCN=C(S)Nc2ccc(C(C)C)cc2)cc1
CHEMBL1406321,CHEMBL1406321,Cc1ccc(Cl)cc1NC(=O)C(C)n1nc(-c2ccccc2)ccc1=O
CHEMBL1406361,CHEMBL1406361,Cc1cc(C(=O)Nc2ccc(Cl)cc2)c(C)n1-c1ccccc1
CHEMBL1406591,CHEMBL1406591,CC(C)COc1cccc(C(=O)N2CCN(C(=O)c3ccco3)CC2)c1
CHEMBL1406593,CHEMBL1406593,C[C@H](NC(=O)OC(C)(C)C)c1nnc(SCc2ccc(Cl)cc2Cl)o1
CHEMBL1406625,CHEMBL1406625,Cn1c(-c2ccc(S(=O)(=O)N3CCCC3)cc2)cs/c1=N\c1ccc(Cl)c(Cl)c1
CHEMBL1406644,CHEMBL1406644,COc1ccc([N+](=O)[O-])cc1NC(=O)CC(C)c1ccccc1
CHEMBL1407183,CHEMBL1407183,CCCCCSc1nnc(-c2ccccc2N)c(O)n1
CHEMBL1409776,CHEMBL1409776,Sc1ncnc2sc(-c3ccccc3)cc12
CHEMBL1412521,CHEMBL1412521,O=C1NC(=O)C(=Cc2ccccc2OCCOc2ccc([N+](=O)[O-])cc2)C(=O)N1
CHEMBL1412569,CHEMBL1412569,COC(=O)CSc1nnc(-c2ccc(S(=O)(=O)N3CCC(C)CC3)cc2)o1
CHEMBL1413062,CHEMBL1413062,C=CCC1c2cccc(C(=O)O)c2C(=O)N1c1cccc(OC)c1
CHEMBL1413075,CHEMBL1413075,Nc1ccc2nn(-c3ccc(Cl)cc3)nc2c1
CHEMBL1413381,CHEMBL1413381,Nc1ccc2nn(-c3cc([N+](=O)[O-])ccc3O)nc2c1
CHEMBL1413756,CHEMBL1413756,COc1ccc(C(=O)CCC(=O)Nc2ccccc2C)cc1
CHEMBL1413880,CHEMBL1413880,COc1ccc(OC)c(S(=O)(=O)N2CCN(c3ccccn3)CC2)c1
CHEMBL1414068,CHEMBL1414068,CCCc1cc(O)nc(SCC(=O)Nc2ccc(Br)cc2Br)n1
CHEMBL1414440,CHEMBL1414440,CC(Sc1ccc(Cl)cc1)C(=O)NCc1ccc2c(c1)OCO2
CHEMBL1414576,CHEMBL1414576,CC(C)(C)N=C(S)NCc1ccc2c(c1)OCO2
CHEMBL1418541,CHEMBL1418541,CNc1oc(-c2ccccc2Cl)nc1P(=O)(c1ccccc1)c1ccccc1
CHEMBL1418667,CHEMBL1418667,c1ccc(-c2csc(Nc3ccccn3)n2)cc1
CHEMBL1418679,CHEMBL1418679,COc1ccc(C(=O)Nc2ccc3ccccc3n2)cc1OC
CHEMBL1422628,CHEMBL1422628,COc1nnc(-c2ccc(N3CCCCC3)c(NC(C)=O)c2)c2ccccc12
CHEMBL1422664,CHEMBL1422664,COc1cccc(C2CC(c3ccc(Br)cc3)=NN2C(=O)c2ccncc2)c1OC
CHEMBL1422689,CHEMBL1422689,Cc1ccc(NC(=O)CCl)cc1S(=O)(=O)N1CCCCCC1
CHEMBL1422691,CHEMBL1422691,O=C(/C=C/c1ccccc1)Nc1cccc(S(=O)(=O)Nc2ccccc2F)c1
CHEMBL1423119,CHEMBL1423119,O=C(NC(=S)Nc1ccccc1C(=O)O)c1cncc(Br)c1
CHEMBL1423698,CHEMBL1423698,Cc1noc(C)c1C(=O)Nc1nc(-c2ccccc2Cl)cs1
CHEMBL1423734,CHEMBL1423734,COc1ccc(C(=O)C2CCN(C(=O)c3ccc(C)cc3)CC2)cc1
CHEMBL1423764,CHEMBL1423764,Cn1c(C(=O)NCCc2ccsc2)cc2c(=O)n(C)c3ccccc3c21
